Season,Team,Lge,GP,G,A,Pts,PIM,+/-,GP_playoffs,G_playoffs,A_playoffs,Pts_playoffs,PIM_playoffs,player_name,position,Min,GA,EN,SO,GAA,W,L,T,Svs,Pct
2005-06,San Jose Sharks,NHL,23,2,10,12,14,-2,--,--,--,--,--,Brad Stuart,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005-06,Boston Bruins,NHL,55,10,21,31,38,-6,--,--,--,--,--,Brad Stuart,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-07,Boston Bruins,NHL,48,7,10,17,26,-22,--,--,--,--,--,Brad Stuart,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006-07,Calgary Flames,NHL,27,0,5,5,18,12,6,0,1,1,6,Brad Stuart,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-08,Los Angeles Kings,NHL,63,5,16,21,67,-16,--,--,--,--,--,Brad Stuart,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2007-08,Detroit Red Wings,NHL,9,1,1,2,2,6,21,1,6,7,14,Brad Stuart,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-09,Detroit Red Wings,NHL,67,2,13,15,26,-3,23,3,6,9,12,Brad Stuart,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-10,Detroit Red Wings,NHL,82,4,16,20,22,-12,12,2,4,6,8,Brad Stuart,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-11,Detroit Red Wings,NHL,67,3,17,20,40,4,11,0,2,2,8,Brad Stuart,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-12,Detroit Red Wings,NHL,81,6,15,21,29,16,5,0,1,1,0,Brad Stuart,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-13,San Jose Sharks,NHL,48,0,6,6,25,4,11,1,2,3,2,Brad Stuart,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-14,San Jose Sharks,NHL,61,3,8,11,35,4,7,0,0,0,0,Brad Stuart,Defense,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
